"Województwo";"Powiat";"Wybierany organ";"Numer okręgu";"Liczba mandatów";"Liczba list";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Powiatu";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"lwówecki";"Rada Powiatu Lwóweckiego";4;4;4;22;9361;7809;"Lwówek Śląski";"Gmina Lubomierz; Gmina Wleń";"021200";0
"dolnośląskie";"milicki";"Rada Powiatu Milickiego";1;10;9;94;22790;18457;"Milicz";"Gmina Milicz";"021300";0
"dolnośląskie";"milicki";"Rada Powiatu Milickiego";2;5;8;49;12521;9953;"Milicz";"Gmina Cieszków, Gmina Krośnice";"021300";0
"dolnośląskie";"oleśnicki";"Rada Powiatu Oleśnickiego";1;8;5;48;33446;27387;"Oleśnica";"Miasto Oleśnica";"021400";1
"dolnośląskie";"oleśnicki";"Rada Powiatu Oleśnickiego";2;3;5;25;14902;11479;"Oleśnica";"Gmina Oleśnica";"021400";0
"dolnośląskie";"oleśnicki";"Rada Powiatu Oleśnickiego";3;4;5;27;19414;15523;"Oleśnica";"Gmina Dobroszyce, Miasto i Gmina Twardogóra";"021400";0
"dolnośląskie";"oleśnicki";"Rada Powiatu Oleśnickiego";4;5;5;32;21039;16979;"Oleśnica";"Miasto i Gmina Międzybórz, Miasto i Gmina Syców";"021400";2
"dolnośląskie";"oleśnicki";"Rada Powiatu Oleśnickiego";5;3;5;22;13698;10961;"Oleśnica";"Miasto i Gmina Bierutów, Gmina Dziadowa Kłoda";"021400";1
"dolnośląskie";"oławski";"Rada Powiatu w Oławie";1;8;6;58;30418;24689;"Oława";"Miasto Oława";"021500";2
"dolnośląskie";"oławski";"Rada Powiatu w Oławie";2;6;6;44;21919;17644;"Oława";"Miasto i Gmina Jelcz-Laskowice";"021500";7
"dolnośląskie";"oławski";"Rada Powiatu w Oławie";3;5;6;40;20160;16157;"Oława";"Gminy: Domaniów, Oława";"021500";1
"dolnośląskie";"polkowicki";"Rada Powiatu Polkowickiego";1;7;5;44;25339;20105;"Polkowice";"Miasto i Gmina Polkowice";"021600";0
"dolnośląskie";"polkowicki";"Rada Powiatu Polkowickiego";2;3;4;20;12055;9694;"Polkowice";"Miasto i Gmina Chocianów";"021600";1
"dolnośląskie";"polkowicki";"Rada Powiatu Polkowickiego";3;4;4;24;12721;10146;"Polkowice";"Gmina i Miasto Przemków, Gmina Radwanice";"021600";0
"dolnośląskie";"polkowicki";"Rada Powiatu Polkowickiego";4;3;3;11;9106;7141;"Polkowice";"Gmina Gaworzyce, Gmina Grębocice";"021600";1
"dolnośląskie";"strzeliński";"Rada Powiatu Strzelińskiego";1;9;5;55;20693;17247;"Strzelin";"Miasto i Gmina Strzelin";"021700";0
"dolnośląskie";"strzeliński";"Rada Powiatu Strzelińskiego";2;4;5;30;9124;7522;"Strzelin";"Gmina Borów, Gmina Kondratowice";"021700";0
"dolnośląskie";"strzeliński";"Rada Powiatu Strzelińskiego";3;4;5;26;11428;9304;"Strzelin";"Miasto i Gmina Wiązów, Gmina Przeworno";"021700";2
"dolnośląskie";"średzki";"Rada Powiatu w Środzie Śląskiej";1;6;6;47;18699;15197;"Środa Śląska";"Gmina Środa Śląska";"021800";1
"dolnośląskie";"średzki";"Rada Powiatu w Środzie Śląskiej";2;5;6;42;17284;14162;"Środa Śląska";"Gmina Malczyce, Gmina Kostomłoty, Gmina Udanin";"021800";0
"dolnośląskie";"średzki";"Rada Powiatu w Środzie Śląskiej";3;6;6;45;19507;14627;"Środa Śląska";"Gmina Miękinia";"021800";1
"dolnośląskie";"świdnicki";"Rada Powiatu w Świdnicy";1;9;7;75;49119;41542;"Świdnica";"miasto Świdnica";"021900";9
"dolnośląskie";"świdnicki";"Rada Powiatu w Świdnicy";2;5;7;44;27976;22682;"Świdnica";"gmina Jaworzyna Śląska, gmina Marcinowice, gmina Żarów";"021900";0
"dolnośląskie";"świdnicki";"Rada Powiatu w Świdnicy";3;5;7;47;23428;19433;"Świdnica";"gmina Strzegom";"021900";0
"dolnośląskie";"świdnicki";"Rada Powiatu w Świdnicy";4;3;7;33;17136;13739;"Świdnica";"gmina Świdnica";"021900";4
"dolnośląskie";"świdnicki";"Rada Powiatu w Świdnicy";5;5;7;46;25210;20958;"Świdnica";"miasto Świebodzice, gmina Dobromierz";"021900";2
"dolnośląskie";"trzebnicki";"Rada Powiatu Trzebnickiego";1;7;4;35;29502;23661;"Trzebnica";"Gminy: Trzebnica, Zawonia";"022000";2
"dolnośląskie";"trzebnicki";"Rada Powiatu Trzebnickiego";2;3;4;20;10989;8739;"Trzebnica";"Gmina: Wisznia Mała";"022000";1
"dolnośląskie";"trzebnicki";"Rada Powiatu Trzebnickiego";3;5;4;28;20069;16208;"Trzebnica";"Gmina: Oborniki Śląskie";"022000";12
"dolnośląskie";"trzebnicki";"Rada Powiatu Trzebnickiego";4;6;4;32;23026;18674;"Trzebnica";"Gminy: Żmigród i Gmina Prusice";"022000";0
"dolnośląskie";"wałbrzyski";"Rada Powiatu Wałbrzyskiego";1;5;6;39;13165;11075;"Wałbrzych";"miasto Boguszów-Gorce";"022100";2
"dolnośląskie";"wałbrzyski";"Rada Powiatu Wałbrzyskiego";2;6;5;37;17119;14406;"Wałbrzych";"gmina Głuszyca, miasto Jedlina-Zdrój, gmina Walim";"022100";7
"dolnośląskie";"wałbrzyski";"Rada Powiatu Wałbrzyskiego";3;3;4;20;9128;7575;"Wałbrzych";"miasto Szczawno-Zdrój, gmina Stare Bogaczowice";"022100";16
"dolnośląskie";"wałbrzyski";"Rada Powiatu Wałbrzyskiego";4;3;4;20;10507;8744;"Wałbrzych";"gmina Czarny Bór, gmina Mieroszów";"022100";0
"dolnośląskie";"wołowski";"Rada Powiatu Wołowskiego";1;8;6;58;20734;17530;"Wołów";"Miasto i Gmina Wołów";"022200";3
"dolnośląskie";"wołowski";"Rada Powiatu Wołowskiego";2;6;4;31;15055;12393;"Wołów";"Miasto i Gmina Brzeg Dolny";"022200";5
"dolnośląskie";"wołowski";"Rada Powiatu Wołowskiego";3;3;6;29;7999;6528;"Wołów";"Gmina Wińsko";"022200";0
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";1;7;6;48;37860;28365;"Wrocław";"Gmina: Długołęka";"022300";4
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";2;3;5;25;20356;15187;"Wrocław";"Gmina: Czernica";"022300";0
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";3;5;6;38;26102;19154;"Wrocław";"Gmina: Siechnice";"022300";4
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";4;6;5;40;34573;25745;"Wrocław";"Gminy: Kobierzyce, Żórawina";"022300";0
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";5;5;6;39;26343;20203;"Wrocław";"Gmina: Kąty Wrocławskie";"022300";1
"dolnośląskie";"wrocławski";"Rada Powiatu Wrocławskiego";6;3;5;25;19363;15715;"Wrocław";"Gminy: Mietków, Sobótka, Jordanów Śląski";"022300";2
"dolnośląskie";"ząbkowicki";"Rada Powiatu Ząbkowickiego";1;3;6;28;9960;8210;"Ząbkowice Śląskie";"gmina Bardo, gmina Stoszowice";"022400";3
"dolnośląskie";"ząbkowicki";"Rada Powiatu Ząbkowickiego";2;5;7;47;18247;15303;"Ząbkowice Śląskie";"gmina Ciepłowody, gmina Ziębice";"022400";3
"dolnośląskie";"ząbkowicki";"Rada Powiatu Ząbkowickiego";3;3;8;38;11556;9736;"Ząbkowice Śląskie";"gmina Kamieniec Ząbkowicki, gmina Złoty Stok";"022400";0
"dolnośląskie";"ząbkowicki";"Rada Powiatu Ząbkowickiego";4;6;7;52;19688;16591;"Ząbkowice Śląskie";"gmina Ząbkowice Śląskie";"022400";0
"dolnośląskie";"zgorzelecki";"Rada Powiatu Zgorzeleckiego";1;7;7;59;26480;22637;"Zgorzelec";"Miasto Zgorzelec";"022500";3
"dolnośląskie";"zgorzelecki";"Rada Powiatu Zgorzeleckiego";2;5;6;42;20624;17136;"Zgorzelec";"Miasto i Gmina Bogatynia";"022500";0
"dolnośląskie";"zgorzelecki";"Rada Powiatu Zgorzeleckiego";3;4;7;38;15799;12990;"Zgorzelec";"Miasto i Gmina Pieńsk; Gmina i Miasto Węgliniec";"022500";0
"dolnośląskie";"zgorzelecki";"Rada Powiatu Zgorzeleckiego";4;5;7;49;18101;14569;"Zgorzelec";"Gmina Zgorzelec; Miasto Zawidów; Gmina Sulików";"022500";0
"dolnośląskie";"złotoryjski";"Rada Powiatu Złotoryjskiego";1;5;8;53;13561;11502;"Złotoryja";"Miasto Złotoryja";"022600";0
"dolnośląskie";"złotoryjski";"Rada Powiatu Złotoryjskiego";2;3;8;36;6715;5381;"Złotoryja";"Gmina Złotoryja";"022600";0
"dolnośląskie";"złotoryjski";"Rada Powiatu Złotoryjskiego";3;4;8;48;10305;8497;"Złotoryja";"Miasto i Gmina Świerzawa, Miasto Wojcieszów";"022600";1
"dolnośląskie";"złotoryjski";"Rada Powiatu Złotoryjskiego";4;3;8;36;9189;7492;"Złotoryja";"Gmina Zagrodno, Gmina Pielgrzymka";"022600";0
